date_,product_id,city_name,daily_quantity,pred_lgb,pred_xgb,pred_ensemble,pred_croston,pred_sba,pred_hybrid
2022-07-01,1,Delhi,347.06,255.8067587358416,257.04968,252.109847018542,188.68091847456898,179.24687255084052,0.48113551031646296
2022-07-02,1,Delhi,222.45,303.76323089640294,299.00732,303.54359022247127,188.68091847456898,179.24687255084052,301.0429438016173
2022-07-03,1,Delhi,341.81,305.27471728714545,296.9168,304.53301659874467,188.68091847456898,179.24687255084052,284.6661786062579
2022-07-04,1,Delhi,201.47,263.3825959821596,263.91336,261.27740293736485,188.68091847456898,179.24687255084052,373.29337848702613
2022-07-05,1,Delhi,205.77,257.6042772093096,259.1528,258.2033230208144,188.68091847456898,179.24687255084052,283.70283947711914
2022-07-06,1,Delhi,267.85,245.97348610006068,244.06624,244.5719192863912,188.68091847456898,179.24687255084052,303.9329611890336
2022-07-07,1,Delhi,350.28,246.51619312757973,247.60594,245.64860719848167,188.68091847456898,179.24687255084052,263.47271776520466
2022-07-08,1,Delhi,225.59,247.6335854505897,253.87956,254.1543109675615,188.68091847456898,179.24687255084052,295.1662391385666
2022-07-09,1,Delhi,375.72,288.4882948256286,286.37503,294.72772527571715,188.68091847456898,179.24687255084052,233.5178021432347
2022-07-10,1,Delhi,230.91,303.8144698402157,302.5359,310.61523744914376,188.68091847456898,179.24687255084052,282.6195925058638
2022-07-01,7,Delhi,268.93,271.7393804973616,273.88538,272.0127795277896,252.18097777908275,239.57192889012862,0.48113551031646296
2022-07-02,7,Delhi,371.51,317.3515665689157,314.44598,321.2629457409972,252.18097777908275,239.57192889012862,324.1630829009481
2022-07-03,7,Delhi,316.9,317.96110770131907,316.02863,325.86658914416,252.18097777908275,239.57192889012862,317.4197089969766
2022-07-04,7,Delhi,294.53,270.88862299401933,273.68314,269.7473550629337,252.18097777908275,239.57192889012862,316.45636986783785
2022-07-05,7,Delhi,320.79,282.9681877668086,282.91663,278.8030966198428,252.18097777908275,239.57192889012862,341.50318722544625
